dataset	dimensions	fold	segment	rotation	pair	bits_per_coordinate	fit_nearest_sse
sift	128	A_TO_B	0	IDENTITY	21	11	7.330595828851363
sift	128	A_TO_B	0	IDENTITY	22	1	10025608.08551263
sift	128	A_TO_B	0	IDENTITY	22	2	1949189.6022285363
sift	128	A_TO_B	0	IDENTITY	22	3	474697.08432653855
sift	128	A_TO_B	0	IDENTITY	22	4	117684.86525291635
sift	128	A_TO_B	0	IDENTITY	22	5	29499.30666068042
sift	128	A_TO_B	0	IDENTITY	22	6	7395.790628806619
sift	128	A_TO_B	0	IDENTITY	22	7	1835.8062912946443
sift	128	A_TO_B	0	IDENTITY	22	8	461.267650271708
sift	128	A_TO_B	0	IDENTITY	22	9	116.63432038336813
sift	128	A_TO_B	0	IDENTITY	22	10	29.04883043164954
sift	128	A_TO_B	0	IDENTITY	22	11	7.224041602709043
sift	128	A_TO_B	0	IDENTITY	23	1	10066286.992531706
sift	128	A_TO_B	0	IDENTITY	23	2	1958692.7507288412
sift	128	A_TO_B	0	IDENTITY	23	3	474848.81432149373
sift	128	A_TO_B	0	IDENTITY	23	4	117394.83645635423
sift	128	A_TO_B	0	IDENTITY	23	5	29697.54565492436
sift	128	A_TO_B	0	IDENTITY	23	6	7407.969537674766
sift	128	A_TO_B	0	IDENTITY	23	7	1852.2816270868802
sift	128	A_TO_B	0	IDENTITY	23	8	468.7755017706405
sift	128	A_TO_B	0	IDENTITY	23	9	116.58329803076768
sift	128	A_TO_B	0	IDENTITY	23	10	29.148096005376033
sift	128	A_TO_B	0	IDENTITY	23	11	7.364400281598291
sift	128	A_TO_B	0	IDENTITY	24	1	10186780.139030289
sift	128	A_TO_B	0	IDENTITY	24	2	1945289.074536357
sift	128	A_TO_B	0	IDENTITY	24	3	476748.6540667623
sift	128	A_TO_B	0	IDENTITY	24	4	119405.8457589723
sift	128	A_TO_B	0	IDENTITY	24	5	29819.199833818155
sift	128	A_TO_B	0	IDENTITY	24	6	7516.3307266472675
sift	128	A_TO_B	0	IDENTITY	24	7	1872.215301710587
sift	128	A_TO_B	0	IDENTITY	24	8	465.3489819338938
sift	128	A_TO_B	0	IDENTITY	24	9	115.96945454517336
sift	128	A_TO_B	0	IDENTITY	24	10	29.021388247758736
