dataset	stage	fold	plan	arm	group	dim1	dim2	local_axis	bits	group_bits	fit_sse	eval_sse
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	30	60	61	1	4	8	25600.24440696506	27389.39391714226
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	31	62	63	0	4	8	26963.73051757899	28001.861391715214
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	31	62	63	1	4	8	23780.10752652034	28998.11199747999
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	32	64	65	0	4	8	25457.950416931028	25231.596291711972
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	32	64	65	1	4	8	24916.40616220249	28617.54337834716
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	33	66	67	0	4	8	26784.61050417246	22539.63779565546
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	33	66	67	1	4	8	20479.904825119513	22754.582224852424
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	34	68	69	0	4	8	21016.44682797721	25519.73933247688
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	34	68	69	1	4	8	19804.48969796751	19378.755251009497
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	35	70	71	0	4	8	21451.341350817296	22301.703580818445
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	35	70	71	1	4	8	21251.46950796286	20370.249050726485
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	36	72	73	0	4	8	19123.827370179628	18829.43573735712
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	36	72	73	1	4	8	21277.16167893143	20495.2676976346
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	37	74	75	0	4	8	19456.49318121674	21020.735713168946
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	37	74	75	1	4	8	18825.27273790699	19441.022180508906
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	38	76	77	0	4	8	18476.074800199873	18143.331740756883
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	38	76	77	1	4	8	19188.03136489996	19043.086166784804
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	39	78	79	0	4	8	21399.397816382836	17707.91466486726
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	39	78	79	1	4	8	15925.731979043492	16554.580435387277
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	40	80	81	0	4	8	17019.804114827093	16905.464976007155
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	40	80	81	1	4	8	15519.287598293196	20285.311621707733
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	41	82	83	0	4	8	16384.164051875734	16372.290209544753
SIFT1M	RESIDUAL_NLIST1024	A_TO_B	ADJ	V	41	82	83	1	4	8	15653.102046142816	16069.25905139481
